,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners,classe_nbRequest,classe_responsesSize,classe_domSize,classe_largestContentfulPaint,classe_cumulativeLayoutShift,classe_firstContentfulPaint,classe_speedIndex,classe_totalBlockingTime,classe_interactive,RandomNumber
60,0,75,100,0,100,100,0,100,65,0,100,0,100,100,0,100,100,100,100,0,100,99.0,100.0,100,100,0,0,0,0,72.0,16.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,54.0
61,20,75,0,0,100,0,0,100,0,0,100,35,0,100,0,35,0,0,0,100,0,27.0,61.0,0,0,0,100,0,0,90.0,42.0,87.0,39.0,46.0,35.0,100.0,42.0,87.0,100.0,100.0,87.0,91.0,100,0,0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,67.0
62,75,75,0,0,100,50,0,100,0,0,100,0,0,100,0,20,0,0,0,100,100,17.0,44.0,0,0,0,100,0,0,100.0,0.0,19.0,100.0,0.0,0.0,100.0,24.0,0.0,100.0,100.0,100.0,16.0,100,0,0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
63,75,75,0,0,100,0,0,0,20,0,100,0,0,100,100,100,35,0,0,100,0,24.0,61.0,0,0,0,0,0,0,11.0,14.000000000000002,100.0,100.0,56.99999999999999,32.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,54.0
64,100,75,50,0,100,100,0,50,35,0,100,100,75,100,100,100,20,0,0,100,0,13.0,31.0,0,0,0,0,0,0,49.0,32.0,45.0,100.0,88.0,34.0,100.0,57.99999999999999,100.0,100.0,100.0,100.0,100.0,100,0,100,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
65,0,0,100,100,100,100,100,50,100,0,100,0,100,100,0,100,100,0,100,100,0,6.0,56.00000000000001,0,0,0,100,0,0,14.000000000000002,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100,0,0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,62.0
66,0,75,0,0,0,75,0,100,20,0,100,0,75,100,0,100,20,0,0,100,100,2.0,15.0,0,100,0,100,0,0,40.0,68.0,100.0,100.0,56.00000000000001,0.0,74.0,46.0,100.0,100.0,100.0,48.0,13.0,0,0,0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,54.0
67,75,75,0,35,100,75,0,100,35,0,100,0,0,100,0,100,35,0,0,100,0,0.0,7.000000000000001,0,0,0,0,0,0,49.0,0.0,0.0,100.0,65.0,15.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0,0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,63.0
68,20,75,0,0,100,0,0,50,0,0,100,0,0,100,0,100,20,0,0,100,100,56.00000000000001,90.0,0,100,0,100,0,0,4.0,90.0,88.0,32.0,87.0,25.0,100.0,88.0,100.0,0.0,100.0,100.0,99.0,100,0,0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,33.0
69,0,75,100,100,100,50,0,100,100,50,100,0,100,100,0,100,100,0,100,100,0,5.0,46.0,0,0,0,100,0,0,92.0,17.0,100.0,45.0,43.0,48.0,100.0,0.0,100.0,100.0,100.0,100.0,30.0,100,0,100,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0
