,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners
78,50,75,0,0,100,0,0,100,20,0,100,0,100,100,0,100,0,0,0,100,0,28,95,0,100,0,100,0,0,90,10,67,100,100,100,43,23,100,100,100,100,100,100,0,0
79,0,0,35,0,100,50,0,0,35,0,100,0,75,100,0,100,0,50,0,100,100,0,20,0,0,0,0,0,0,1,29,86,100,97,24,0,0,100,100,100,86,0,0,0,0
80,20,75,0,0,100,0,0,0,0,0,100,0,0,100,0,0,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,100,100,100,100,75,100,100,0,100,100,75,100,0,100,100,0,100,100,0,92,99,0,100,0,100,0,0,100,0,100,100,79,39,25,0,36,39,100,100,69,100,0,0
82,0,0,100,100,100,100,100,50,100,0,100,0,100,100,0,100,100,0,100,100,100,0,4,100,0,0,100,0,0,20,5,100,100,38,0,100,100,100,59,100,66,74,0,0,100
83,0,75,0,0,100,0,0,100,20,0,100,0,0,100,0,100,0,0,0,100,100,90,99,0,100,0,100,0,0,100,1,83,42,0,25,100,27,0,8,100,83,81,100,0,0
84,75,75,0,0,100,0,0,100,35,0,100,0,0,100,0,100,20,0,0,100,100,35,65,0,0,0,100,0,0,76,10,13,100,40,30,100,9,67,100,100,100,61,100,0,0
85,0,75,75,100,100,75,0,0,35,0,100,0,75,100,0,100,50,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,50,0,0,0,100,0,0,100,20,0,100,0,0,100,0,35,0,0,0,100,100,85,90,0,100,0,100,0,0,100,79,100,100,100,78,100,100,100,100,100,100,100,100,0,100
87,75,75,0,0,100,0,0,50,50,0,100,0,35,100,0,100,35,0,0,0,100,87,99,100,100,0,100,0,0,99,5,100,41,100,67,100,45,100,100,100,100,100,0,0,100
88,75,65,0,0,100,50,0,100,35,0,100,35,75,100,0,100,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,75,100,100,100,50,0,100,100,0,100,0,100,100,0,100,100,100,0,100,0,76,89,0,0,0,0,0,0,57,96,100,100,100,34,100,100,100,100,100,100,100,0,0,100
90,100,75,75,0,100,0,50,100,75,0,100,0,100,100,0,100,35,50,0,100,100,24,100,100,100,0,100,0,0,99,0,0,60,100,100,27,0,100,0,0,100,0,100,0,100
91,0,75,100,100,100,100,75,100,100,0,100,100,100,100,0,100,100,0,100,100,100,10,38,0,0,0,100,0,0,46,3,100,100,0,11,100,100,39,100,100,87,63,100,0,100
92,0,75,35,0,100,20,0,100,50,0,100,0,75,100,0,100,50,50,0,100,100,74,89,100,100,0,100,0,0,93,58,100,100,88,67,75,38,100,100,100,100,100,100,0,100
93,100,75,75,100,100,100,50,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100
94,0,0,0,100,100,50,0,0,35,0,100,0,0,100,0,100,65,0,0,100,100,100,99,100,100,0,0,0,0,100,100,100,100,100,75,100,100,100,100,100,100,100,100,0,100
95,100,75,100,100,0,75,100,100,100,100,100,0,100,100,0,100,100,0,100,100,100,99,97,100,0,0,0,0,0,100,100,100,100,100,43,100,100,100,100,100,100,100,100,0,100
96,75,65,0,0,100,50,0,100,20,0,100,0,0,100,0,100,20,0,0,100,100,8,27,100,0,0,100,0,0,80,54,100,45,100,41,100,75,100,100,100,100,99,100,0,0
97,100,75,75,0,100,0,100,100,50,0,100,100,75,100,0,100,100,100,100,100,0,100,100,0,0,0,100,0,0,100,47,100,100,100,100,88,67,100,67,100,100,100,100,0,100
98,0,0,0,35,100,0,50,100,35,0,100,0,35,100,0,100,0,50,0,0,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,100,100,100,73,100,100,100,100,0,100
99,100,75,50,100,100,0,0,100,35,0,100,100,75,100,0,100,100,100,0,100,100,86,95,0,0,0,0,0,0,100,85,100,100,37,57,100,100,30,100,100,100,100,100,0,100
100,100,75,35,100,100,0,0,100,35,0,100,100,75,100,0,100,100,100,0,100,100,73,86,100,100,0,0,0,0,52,43,56,100,65,40,100,36,65,100,100,87,96,100,0,0
101,75,75,0,35,0,0,0,0,35,0,100,0,75,100,0,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
